4767,"2、 Why did Ann Makosin6KBski say, “If you are alive, you pr5g4oduce somMf6e light”?",(1) She was the firsGmMt femaRLale pharmcwaoh in EgypRLYt lonxWVg beformwQe Cleopatra.,(2) She was so populcbiar thzjHat EgyptlPyians wrot94fe manHnIy stor5B1ies abougfHt her in thTYPeir history.,(3) Her faFiEther anm7Gnounced her as the new queeEKgn of EgypZuht wh5q4en she was stilA5ql young.,"(4) Her mummx1Cy was fouDbund in her own grave, whiPCFch is far awaGsly frCDhom the ValncMley of the King."
4757,"3、 In the illustratl33ion of pagmDle 147, why is thiXnere a butte8WPrfly stoppinkwOg on one of the Mirabkrpal sisters'' finger?",(1) EvesIJry persowg4n needqXJs lig4cqht to maMcqke thegwhm see begs2tter at nighttime.,"(2) In Anna''s city, a lot of peoplbe7e workeiL5d in the electkQHricity fanp8ctory and prodWqMuce light.",(3) She invJGwented a kiIypnd of flIdIashlight whOpDich coulHGqd be poqeQwered by the boIfxdy heat.,(4) She thougdWTht thD6pat eveBDaryone sh26Oould do thetryir beseRat to hel5jtp others.
4760,"4、 WhMEdat miufight MalVVcala measBMn wheeeZn she sai8vKd “One child, one teacher, one book, and one pen can chanuEige the world”?",(1) ThamWWt was theFSNir favonkOrite luckE9xy charm.,(2) ThaZcPt was whZmnat peopllOPe callehNEd them.,(3) Tha2axt was a parti2Sscular sp0krecies of thegVpir country.,(4) Th9Qcey weyu8re as beautifuuj9l as butterflies.
4771,5、 It is verIWqy impo0X4rtant to telNKVl whauHWt you retq2ad is a faKFoct or an opocXinion wheAOWn we get the infhXKormation frLibom media. Who miHQWght deeptJlly belA1Pieve in “Information spELceaks loudleTer thaB1Tn opinions” accodamrding to her famouXSDs saying?,(1) EdAhAucation is powerfChJul and ablyXge to chaECwnge the world.,(2) Classr14Fooms are chi40zldren and the teacher''s world.,"(3) If you can not read, you havYJye no chancAPke to chancvQge the world.",(4) TeachDxBers and stuYDYdents can expresvkos thfO0eir opinionnuis wiZ32th pens.
4759,6、 How do the writBIcers arra214nge the sequaQYence of theNLjse one hundQsVred ladies'' stories?,(1) AnJf3na Politkovskaya.,(2) MaritLga Reiche.,(3) Nelly1Mie Bly.,(4) Marg2oy EdoVBwards Walker.
4777,7、 Who set a speesoWd re1Iicord on the cyhlCcle racoyming th4Evat stoDgcod for 26 yeKiyars and was callesBtd “the devU7Xil in a dress” by the newspagK2per bectxrause she alwaXfJys rodWwre her biZWGke so fasCovt thDSGat you coLatuld barely(幾乎不能) see her?,(1) The sequenhgkce of the ladies'' birthdays.,(2) The sequeYOJnce of the datncEes of the ladies'' death.,(3) The sequeTKjnce of the alphaIqEbetical ordeWrBr of the ladies'' names.,(4) The sequenLnlce wivs1th the ladies'' contributqLtion to theix4Ir countries.
4749,8、 WhadfNt did Po7wOlicarpa Sapv6lavarrieta do to shR2Sow she had “more thKLLan enouonSgh courage”?,(1) AshlU5ley Fiolek.,(2) SoNUbnita Alizadeh.,(3) Alfou1qnsina Strada.,(4) Joancsn Jett.
4753,9、 Why did MapFPry Kom''s fami0KSly havW5pe to “struggle to put tal70ble on the table”?,(1) She neveFB0r gav4sGe a sindMggle nam0XLe of her revol5QXutionary frienlp3ds unKbitil the Spaqjyin governmenMa1t caug7Ydht her family.,(2) She truplaveled froxE7m AuSIMstralia to ColZNMombia in ordeFgor to coSGDnvince a newspaCgwper to hiWTXre her.,(3) She worsldked in the royalists'' houseNtOs to gathed0Tr the informatiozzyn for her revolutLEuionary friends.,(4) She helpenxRd the piloY3Uts who had beeOran sh5WGot dow9Dun crowkpss the bor1ksders to go bacaG6k to thuEdeir own countr8QQy safely.
4779,"10、 In QuZiSeen Nanny''s story, whDT1en her peobdjple wer3tee suffmAsering froCOpm hunger, she dre1ZSamed thadvTt her ancestoT5jr tolyl1d her“ FootEad is at hand.” Wha6LTt kiniDTd of fooY5zd mitRGght it refqicer to?",(1) TheAc4y weChEre too pooVsGr to haPArve enougjFph foqN5od for evEozery famil5sYy member.,(2) ThLpoey wer4jBe kiEIxnd of disJSlabled and couldn''t act smoothly.,(3) Th9fXey had to carCLRry theJ7Jir fofEvod frAjdom a distanckQ4e and it was heavy.,(4) ThevRay fezbIlt sorrLtjy becauaDSse thE05eir foogmrd was froJddm Mary''s boxiC7ing matches.
4783,"10、 In QuZiSeen Nanny''s story, whDT1en her peobdjple wer3tee suffmAsering froCOpm hunger, she dre1ZSamed thadvTt her ancestoT5jr tolyl1d her“ FootEad is at hand.” Wha6LTt kiniDTd of fooY5zd mitRGght it refqicer to?",(1) Pumpkins.,(2) Milk.,(3) Potatoes.,(4) Beans.
4765,3、 WhCNcat is the “historic moment” mentionetgwd in Madmjtilde Montoya''s story?,(1) All of thWw4em hazuove beeUQtn well-educated sincBEje theTupy wedxKre litts3Qle girls.,(2) ThvZjey all foughtglt agaiKW8nst the irrVmrational bulRzdlies fromXqm thebUdir fasoOmilies bravely.,(3) All of thelIZm becF6Game suRqMccessful politiciXrPans in thqoZeir countrhUWies eventually.,(4) The11Xy all weyMnnt to the verDuBy famoKIJus fof9vreign schwO2ools and had brGOXilliant performances.
