2720,2、 小國王告訴「我」：廣場上的藍色巨龍總是攻擊著正要上班的路人，牠不想讓他們到辦公室，牠設法阻止他們。請問，作者想表達的是什麼？,(1) 嗶嘰熊軟糖,(2) 馬鈴薯湯糰,(3) 熱卡布奇諾,(4) 玉米金皇冠
2726,3、 小國王十二月外出散步時，說了有關街上的人和一條藍色巨龍的一些事情，而作者將此單元的標題訂為「虛實之間」，請問，其想表達的意義為何？,(1) 小國王單純的想像以增生活樂趣,(2) 藉由荒謬的想像紓解生活的壓力,(3) 巨龍其實是人們心中現實的壓力,(4) 小國王的透視眼點出現實的危機
2737,4、 小國王對「我」說：「至少我是你的小國王。就因為你要我，我才存在。」請問，作者想表達的是什麼？,(1) 弄清事實，不被夢境所迷惑,(2) 擺脫現實，發揮一些想像力,(3) 努力當下，使夢境可以成真,(4) 正視壓力，不被現實所困住
2725,5、 以下對小國王世界的描繪，何者為真？,(1) 大家不願意接納不同世界的人事,(2) 很多人不知道他們缺乏想像能力,(3) 人們刻意忽略身邊需要幫助的人,(4) 作者埋怨人們的識見短淺與自私
2724,6、 在小國王的世界中，夢想和生命歷程的關聯性為何？,(1) 生命的終點在童年,(2) 人像籃球選手般高,(3) 擁有許多珍奇珠寶,(4) 喜歡住在沙發底下
2728,7、 小國王十二月說他不怕老，其原因為何？,(1) 人慢慢變老，夢想越變越小,(2) 當一個人越老，夢就越巨大,(3) 年紀越大，可以買的夢越多,(4) 年紀越小，儲存的夢想越多
2734,8、 小國王十二月以色筆奮力作畫，畫出了一頂淺綠色鋸齒狀皇冠。小國王說它是用什麼材料做成的？,(1) 老的時候可以領回保險年金,(2) 越老越能夠遇見夢中的仙女,(3) 越長越小越能看星星與幻想,(4) 愈長越小越能擁有權力地位
2733,9、 向小國王十二月購畫的繪畫收藏家住在哪裡？,(1) 染綠的金,(2) 氧化的銅,(3) 月桂的葉,(4) 燒製的陶
2742,10、 小國王十二月房間裡的盒子，從何而來？,(1) 巨大桌腳底下,(2) 木板夾縫之間,(3) 瓷磚壁爐附近,(4) 狹窄螺旋梯旁
2729,10、 小國王十二月房間裡的盒子，從何而來？,(1) 自己辛苦存錢所購的,(2) 與友伴打賭所贏得的,(3) 從祖父那兒繼承來的,(4) 家族成員所贈的禮物
2741,2、 小國王告訴「我」：廣場上的藍色巨龍總是攻擊著正要上班的路人，牠不想讓他們到辦公室，牠設法阻止他們。請問，作者想表達的是什麼？,(1) 想像仙女施咒才上車,(2) 閉上眼睛想像坐上車,(3) 自行唸咒以縮小身體,(4) 想像貨車變大再上車
2740,6、 小國王十二月房間的架子上，堆滿了五顏六色的小盒子，請問，盒子裡裝的是什麼？,(1) 從地面彈跳到天空，以摘下星星,(2) 直達地面而化為塵粒，終結此生,(3) 進入地心探索另一個奧秘的世界,(4) 回到地面的彈簧墊上，邁向永恆
2722,7、 小國王十二月認為在「我」的世界中，成長究竟是怎麼一回事？（甲）逐漸受限的視野（乙）更為豐富的想像力（丙）行為變成反射動作（丁）漸漸刻板的生活方式,(1) 美麗的戒子,(2) 許夢的仙女,(3) 小國王的夢,(4) 飛騰的遊龍
2743,8、 小國王問：「沒有我，你會難過嗎？」「我」說：「會。我想，很多人不知道他們缺少一個小國王。」請問，作者想表達什麼？,(1) 甲乙丙,(2) 乙丙丁,(3) 甲乙丁,(4) 甲丙丁
2738,9、 小國王十二月一書中的繪圖，底色多屬深綠色，且其筆觸帶著油畫似的朦朧感，請問，繪者想藉著圖畫表達本書內容的什麼氛圍？,(1) 大家有眼不識泰山，不知真相,(2) 人們追求名利，想得國王賞識,(3) 很多人不知道自己缺乏想像力,(4) 眾人渴望遇見小國王卻未如願
